scene,variant,target_sparse_mean,edge_sparse_mean,target_edge_ratio,target_edge_contrast,target_threshold_mean,edge_threshold_mean,empty_exceedance_fraction
0,product,0.0,0.0002035995275946334,0.0,-0.0002035995275946334,0.18850499391555786,0.09300612658262253,0.018125
1,product,0.0,0.00021920556901022792,0.0,-0.00021920556901022792,0.19691155850887299,0.08497259020805359,0.0225
2,product,0.004084150772541761,0.00011958655522903427,34.15225703859204,0.003964564217312727,0.15949589014053345,0.07783282548189163,0.018125
3,product,0.0,0.0001739935833029449,0.0,-0.0001739935833029449,0.17866438627243042,0.06520847231149673,0.0225
4,product,0.0,0.00011752310820156708,0.0,-0.00011752310820156708,0.18295584619045258,0.07424859702587128,0.015625
5,product,0.0,0.00021433203073684126,0.0,-0.00021433203073684126,0.15963737666606903,0.08064821362495422,0.0275
6,product,0.0,7.128597644623369e-05,0.0,-7.128597644623369e-05,0.19780227541923523,0.08448772132396698,0.01625
7,product,0.006333895027637482,0.0003110497200395912,20.362966495617766,0.0060228453075978905,0.15550416707992554,0.07696030288934708,0.024375
0,main,0.0,0.0,0.0,0.0,0.18358272314071655,0.10111720114946365,0.0
1,main,0.0,0.0,0.0,0.0,0.1942782700061798,0.09495141357183456,0.0
2,main,0.0,0.0,0.0,0.0,0.16490158438682556,0.08972436189651489,0.0
3,main,0.0,0.0,0.0,0.0,0.1824706345796585,0.08608897775411606,0.0
4,main,0.0,0.0,0.0,0.0,0.18392594158649445,0.08983322232961655,0.0
5,main,0.0,0.0,0.0,0.0,0.16279827058315277,0.0904993861913681,0.0
6,main,0.0,0.0,0.0,0.0,0.19779525697231293,0.09540089964866638,0.0
7,main,0.0,0.0,0.0,0.0,0.163441002368927,0.09022174775600433,0.0
0,blob,0.0,0.0,0.0,0.0,0.17722079157829285,0.10121835023164749,0.0
1,blob,0.0,0.0,0.0,0.0,0.18767087161540985,0.09517553448677063,0.0
2,blob,0.0,0.0,0.0,0.0,0.16317997872829437,0.08988520503044128,0.0
3,blob,0.0,0.0,0.0,0.0,0.18219143152236938,0.08616264164447784,0.0
4,blob,0.0,0.0,0.0,0.0,0.18180373311042786,0.08997021615505219,0.0
5,blob,0.0,0.0,0.0,0.0,0.16060799360275269,0.09076550602912903,0.000625
6,blob,0.0,0.0,0.0,0.0,0.19528847932815552,0.09572295844554901,0.0
7,blob,0.0,0.0,0.0,0.0,0.15953028202056885,0.09063403308391571,0.0
